constellation,condition,seed,variant,deliverable_per_snapshot,delivery_rate,non_optimal_egress_rate,stretch_dist_shared,stretch_hop_shared,isls_removed_per_snapshot,satellites_down_per_snapshot,fstate_updates_per_snapshot,compute_time_ms,loop_pairs_per_snapshot,live_minima_per_snapshot,detour_entries_per_snapshot,failure_events_per_snapshot,exception_entries_per_snapshot,exception_entries_one_pass_per_snapshot,exception_satellites_per_snapshot,exception_share_of_link_state,exception_hops_to_failure_mean,exception_hops_to_failure_max,exception_unresolved_total,failure_share_loop,failure_share_dead_end,failure_share_link_down,failure_share_hop_limit,failure_share_egress_lost,delivery_gap_vs_link_state
kuiper,isl_p0.01,5,topological_nominal_progress_exceptions,552.0,1.0,0.01853864734299517,1.0018213813810124,1.0135069309436977,22.35,0.0,0.029558383672511877,4955.7894024377065,0.0,25.466666666666665,0.0,4.5,29.75,742.4,17.033333333333335,0.0010723039215686275,0.14173669467787114,1.0,0.0,,,,,,0.0
kuiper,isl_p0.01,5,topological_nominal_progress_repair,552.0,1.0,0.021678743961352658,1.0035094009727343,1.015506797860739,22.35,0.0,0.029558383672511877,4510.807291573535,0.0,0.0,41.083333333333336,,,,,,,,,,,,,,0.0
kuiper,isl_p0.01,5,topological_nominal_progress_repair_exceptions,552.0,1.0,0.021678743961352658,1.0035094009727343,1.015506797860739,22.35,0.0,0.029558383672511877,4886.966313545902,0.0,0.0,41.083333333333336,4.5,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,0.0
kuiper,isl_p0.01,5,topological_observed,552.0,1.0,0.005283816425120773,1.0003663575276014,1.011395598564986,22.35,0.0,0.029558383672511877,4241.889844276011,0.0,,,,,,,,,,,,,,,,0.0
kuiper,isl_p0.01,5,topological_observed_progress,552.0,1.0,0.005283816425120773,1.0003663575276014,1.011395598564986,22.35,0.0,0.029558383672511877,4376.56701238205,0.0,0.0,,,,,,,,,,,,,,,0.0
kuiper,isl_p0.02,1,dra,552.0,0.8679347826086956,0.26567174563417517,1.0337469742661989,1.000132751380346,46.93333333333333,0.0,0.029558383672511877,1157.2690663859248,72.9,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.1320652173913044
kuiper,isl_p0.02,1,explicit_r1,552.0,1.0,0.0,1.0,1.010654674370619,46.93333333333333,0.0,0.7784734033194535,4409.738610405475,0.0,,,,,,,,,,,,,,,,0.0
kuiper,isl_p0.02,1,explicit_r15,552.0,0.9060990338164251,0.5327890703098968,1.30879920178887,1.2747602849852624,46.93333333333333,0.0,0.7111606357398392,921.8104359383384,0.0,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,0.09390096618357491
kuiper,isl_p0.02,1,link_state,552.0,1.0,0.0,1.0,1.010654674370619,46.93333333333333,0.0,32.686543311242744,8310.868463199586,0.0,,,,,,,,,,,,,,,,0.0
kuiper,isl_p0.02,1,topological_nominal,552.0,0.9589673913043478,0.04549604861307893,1.0043845156597986,1.0173067000770915,46.93333333333333,0.0,0.029558383672511877,4406.755673605949,22.65,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.04103260869565217
kuiper,isl_p0.02,1,topological_nominal_progress,552.0,0.9369565217391305,0.03409383861820057,1.0015275290808816,1.012648342153018,46.93333333333333,0.0,0.029558383672511877,4446.056690843155,0.0,54.35,,,,,,,,,,0.0,1.0,0.0,0.0,0.0,0.06304347826086953
kuiper,isl_p0.02,1,topological_nominal_progress_exceptions,552.0,1.0,0.05534420289855072,1.0049744047803895,1.0180268318014147,46.93333333333333,0.0,0.029558383672511877,4891.375764055799,0.0,54.35,0.0,10.266666666666667,61.983333333333334,1787.7,37.7,0.002234116685890042,0.11616025813390696,1.0,0.0,,,,,,0.0
kuiper,isl_p0.02,1,topological_nominal_progress_repair,552.0,1.0,0.06479468599033816,1.0093740926831933,1.0249234462450716,46.93333333333333,0.0,0.029558383672511877,4446.345755613099,0.0,0.016666666666666666,92.88333333333334,,,,,,,,,,,,,,0.0
kuiper,isl_p0.02,1,topological_nominal_progress_repair_exceptions,552.0,1.0,0.06479468599033816,1.0093740926831933,1.0249234462450716,46.93333333333333,0.0,0.029558383672511877,4874.8684155754745,0.0,0.016666666666666666,92.88333333333334,10.266666666666667,0.016666666666666666,0.11666666666666667,0.016666666666666666,6.007304882737409e-07,0.0,0.0,0.0,,,,,,0.0
kuiper,isl_p0.02,1,topological_observed,552.0,1.0,0.018297101449275363,1.0010689013516316,1.0115677847019136,46.93333333333333,0.0,0.029558383672511877,4314.812044861416,0.0,,,,,,,,,,,,,,,,0.0
kuiper,isl_p0.02,1,topological_observed_progress,552.0,1.0,0.018297101449275363,1.0010689013516316,1.0115677847019136,46.93333333333333,0.0,0.029558383672511877,4503.739805861066,0.0,0.0,,,,,,,,,,,,,,,0.0
kuiper,isl_p0.02,2,dra,552.0,0.8872886473429952,0.26120393371218564,1.0342489253851688,1.000299195804615,43.7,0.0,0.029558383672511877,1134.817597673585,62.21666666666667,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.11271135265700483
kuiper,isl_p0.02,2,explicit_r1,552.0,1.0,0.0,1.0,1.0105743278977624,43.7,0.0,0.7789719078059937,4309.711094666272,0.0,,,,,,,,,,,,,,,,0.0
kuiper,isl_p0.02,2,explicit_r15,552.0,0.9177536231884058,0.5414199236741677,1.3089019846231515,1.273994030036662,43.7,0.0,0.7111606357398392,929.394559096545,0.0,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,0.08224637681159419
kuiper,isl_p0.02,2,link_state,552.0,1.0,0.0,1.0,1.0105743278977624,43.7,0.0,32.686308720896136,8346.158955215165,0.0,,,,,,,,,,,,,,,,0.0
